urban_grower,grower_id,category,url,street_address,city,state,zip_code,country,latitude,longitude
Angora Gardens,584,sustainability-fund-site|other,https://www.growpittsburgh.org/directory/garden/angora-gardens-1,3 Muse Lane,White Oak,Pennsylvania,15131,US,40.404686,-79.862095
Everybody's Garden,586,sustainability-fund-site|other,https://www.growpittsburgh.org/directory/garden/everybodys-garden,301 West Elizabeth Street,Pittsburgh,Pennsylvania,15207,US,40.406546,-79.945442
EvGard Extension,587,other,https://www.growpittsburgh.org/directory/garden/evgard-extension,,Pittsburgh,Pennsylvania,15201,US,40.406377,-79.945559
Glen Hazel Communiuty Garden,588,other,https://www.growpittsburgh.org/directory/garden/glen-hazel-communiuty-garden,Johnston Avenue at Roselle Drive,Pittsburgh,Pennsylvania,15207,US,40.40604,-79.931253
Grow Pittsburgh,589,grow-pittsburgh-site,https://www.growpittsburgh.org/directory/garden/grow-pittsburgh,6587 Hamilton Avenue #2W,Pittsburgh,Pennsylvania,15206,US,40.458481,-79.911381
Lawrenceville Organic Community Garden,590,other,https://www.growpittsburgh.org/directory/garden/lawrenceville-organic-community-garden,"Allegheny Cemetery, 4734 Butler Street",Pittsburgh,Pennsylvania,15201,US,40.477158,-79.956114
Masjid al Mu'min Madinah Garden,591,sustainability-fund-site|other,https://www.growpittsburgh.org/directory/garden/masjid-al-mumin-madinah-garden,159 Winslow Street,Pittsburgh,Pennsylvania,15206,US,40.46445,-79.911651
South Oakland Community Orchard,592,other,https://www.growpittsburgh.org/directory/garden/south-oakland-community-orchard,3213 Parkview Avenue,Pittsburgh,Pennsylvania,15213,US,40.429834,-79.953578
Thelma Lovette YMCA Garden,593,other,https://www.growpittsburgh.org/directory/garden/thelma-lovette-ymca-garden,2114 Centre Avenue,Pittsburgh,Pennsylvania,15219,US,40.444369,-79.978126
Wiggins Garden,594,other,https://www.growpittsburgh.org/directory/garden/wiggins-garden,Near 3026 Wiggins Street,Pittsburgh,Pennsylvania,15219,US,40.457618,-79.969499
The Samuel and Anna Mae Richardson Community Garden,663,community-farm,https://www.growpittsburgh.org/directory/garden/the-samuel-and-anna-mae-richardson-community-garden,5427 Willow Street,Bethel Park,Pennsylvania,15102,US,40.323229,-80.0405
Coraopolis Community Garden,664,community-farm,https://www.growpittsburgh.org/directory/garden/coraopolis-community-garden,411 Broadway Avenue,Coraopolis,Pennsylvania,15108,US,40.516753,-80.160618
Crafton Community Farm,665,community-farm,https://www.growpittsburgh.org/directory/garden/crafton-community-farm,117 West Steuben Street,Crafton,Pennsylvania,15205,US,40.438964,-80.072817
Community Human Services Teaching Garden,666,community-farm,https://www.growpittsburgh.org/directory/garden/community-human-services-teaching-garden,370 Lawn Street,Pittsburgh,Pennsylvania,15213,US,40.433691,-79.961356
Landslide Community Farm,667,community-farm,https://www.growpittsburgh.org/directory/garden/landslide-community-farm,3 Beelen Street,Pittsburgh,Pennsylvania,15213,US,40.43816,-79.97244
Rosalinda Sauro Sirianni Memorial Garden,668,community-farm,https://www.growpittsburgh.org/directory/garden/rosalinda-sauro-sirianni-memorial-garden,119 Davis Avenue,Bellevue,Pennsylvania,15202,US,40.48879,-80.049169
